Serial Number,Scheme Name,Description
11,Soil Health Card (SHC),"The Soil Health Card scheme provides farmers with vital information on the nutrient status of their soil and offers recommendations for appropriate fertilizer application, thereby promoting balanced nutrient management and reducing chemical overuse. The card lists soil health indicators that can be assessed without the aid of technical or laboratory equipment. The government plans to conduct 5 Crore Soil Samples across the country during the years 2023-24 to 2025-26 to develop a nationwide soil fertility map on a GIS platform. This scheme was launched in 2016 and remains active."
12,Rainfed Area Development (RAD),"RAD has been implemented since 2014-15. It adopts an area-based approach in a cluster mode for promoting Integrated Farming System (IFS). IFS focuses on multi-cropping, rotational cropping, inter-cropping, and mixed cropping practices, along with allied activities like horticulture, livestock, fishery, and apiculture. This approach enables farmers to maximize farm returns for sustaining their livelihood and mitigate the impacts of drought, flood, or other extreme weather events."
13,Per Drop More Crop (PDMC),"Launched during 2015-16, the Per Drop More Crop (PDMC) scheme aims to increase water use efficiency at the farm level through micro irrigation technologies, specifically drip and sprinkler irrigation systems. Micro Irrigation helps in water saving, reduced fertilizer usage through fertigation, lower labor expenses, and overall income enhancement for farmers. It also supports micro-level water harvesting, storage, and management activities as ""Other Interventions"". From the year 2022-23, the scheme is being implemented under the Rashtriya Krishi Vikas Yojana (RKVY)."
14,Micro Irrigation Fund (MIF),"An initial corpus of Rs. 5000 crore was created with NABARD with the major objective of facilitating States in mobilizing resources for expanding coverage of Micro Irrigation. The interest subvention on the loan under MIF is borne by the Centre under the PDMC scheme. As per the Budget 2021-22, the corpus of the fund is to be doubled to Rs. 10000 crores. This fund is now merged with PDMC."
15,Paramparagat Krishi Vikas Yojana (PKVY),"An extended component of the National Mission on Sustainable Agriculture (NMSA) launched in 2015, PKVY aims to increase soil fertility and produce healthy, chemical-free food through organic practices. The scheme is implemented in a cluster mode with a unit cluster size of 20 hectares. The scheme provides assistance of Rs. 31,500 per ha to states over three years, with a direct incentive of Rs. 15,000 to the farmer for organic inputs. It also provides financial assistance for certification, packaging, branding, and training."
16,Sub-Mission on Agriculture Mechanization (SMAM),"SMAM has been implemented since April 2014. Its objectives include catalyzing an accelerated but inclusive growth of agricultural mechanization by increasing the reach of farm mechanization to small and marginal farmers. It promotes 'Custom Hiring Centres' to offset the adverse economies of scale and creates hubs for hi-tech farm equipment. To date, Rs. 6748.78 Crore has been released to State Governments, distributing more than 15,75,719 agricultural machinery & equipment."
17,Crop Residue Management,"This scheme was implemented from 2018-19 to address air pollution caused by stubble burning and to prevent the loss of nutrients and soil micro-organisms. It proposes to set up Farm Machinery Banks for custom hiring of in-situ crop residue management machinery. The funding for this scheme has been released from within the sanctioned budget for Sub-Mission on Agricultural Mechanization (SMAM), effectively merging the two initiatives."
18,Agro-forestry,Agro-forestry was conceived based on the recommendation of the National Agro-forestry Policy 2014 to promote plantation on farmlands. The restructured agro-forestry under RKVY is aimed to provide Quality Planting Materials and certification in order to promote planting of trees on farm land for improving the livelihood of farmers.
19,National Food Security Mission (NFSM),"The Mission aims at increasing the production of rice, wheat, pulses, coarse cereals (Maize and Barley), and Nutri-Cereals through area expansion and productivity enhancement. Other objectives include restoring soil fertility, enhancing farm-level economy, and post-harvest value addition. The government has taken a proactive multi-stakeholder engagement approach to promote Indian millets globally."
20,Sub-Mission on Seed and Planting Material (SMSP),"SMSP covers the entire gamut of the seed production chain, from the production of nucleus seed to the supply of certified seeds to the farmers. It provides support for the creation of infrastructure conducive to the development of the seed sector. A key initiative is the Seed Authentication, Traceability & Holistic Inventory (SATHI) portal, which was launched on April 19, 2023. SMSP is now merged with NFSM."
21,National Mission on Edible Oils (NMEO)-Oil Palm,"A new Centrally Sponsored Scheme, NMEO-Oil Palm (NMEO-OP), was launched by the Government of India in 2021. Its purpose is to promote oil palm cultivation for making the country Aatamnirbhar (self-reliant) in edible oils, with a special focus on North-Eastern States and A&N Islands. The Mission aims to bring an additional area of 6.5 lakh hectares under Oil Palm plantation over the next 5 years from 2021-22 to 2025-26."
22,Mission for Integrated Development of Horticulture (MIDH),"MIDH, a Centrally Sponsored Scheme, was launched during 2014-15 for the holistic growth of the horticulture sector. It covers a wide range of produce, including fruits, vegetables, mushrooms, and spices. Major components include plantation infrastructure development, rejuvenation of unproductive orchards, and promotion of organic farming. The Government of India contributes 85% of the total outlay (100% for North Eastern and Himalayan states)."
23,National Bamboo Mission (NBM),The National Bamboo Mission (NBM) focuses on the development of the complete value chain of the bamboo sector. It is envisaged to link growers with consumers through a cluster approach mode. NBM is now merged with MIDH to promote a holistic strategy for the horticulture sector.
24,Integrated Scheme for Agriculture Marketing (ISAM),"ISAM supports state governments in governing agricultural produce marketing through the creation and improvement of market structures, capacity building, and generating access to market information. During 2017-18, the National Agriculture Market Scheme, popularly known as e-NAM scheme, was also made part of ISAM."
25,National Agriculture Market (e-NAM),"e-NAM is a pan-India electronic trading portal that networks existing APMC mandis to create a unified national market for agricultural commodities. The platform offers single- window services, real-time price discovery based on quality, and direct online payments to farmers' bank accounts. As of the latest information, 1389 mandis have been integrated into the e-NAM platform, and more than 1.76 Crore farmers have been registered."
26,Mission Organic Value Chain Development for North Eastern Region (MOVCDNER),"The MOVCDNER aims at the development of commodity-specific, certified organic production clusters in a value chain mode in the Northeast Region. This links growers with consumers and supports the development of the entire value chain from inputs, seeds, certification, to the creation of facilities for collection, aggregation, processing, and marketing initiatives."
27,Sub-Mission on Agriculture Extension (SMAE),The scheme aims at making the extension system farmer-driven and farmer- accountable by disseminating technology to farmers through new institutional arrangements like the Agricultural Technology Management Agency (ATMA) at the district level. Digital initiatives include VISTAAR and Kisan Call Centres.
28,Digital Agriculture Mission,"The Union Cabinet approved the Digital Agriculture Mission on September 2, 2024, with an outlay of Rs. 2817 Crore for 2021-2025. This mission aims to create a comprehensive, farmer-centric digital and space-tech ecosystem to enhance transparency and efficiency in government program execution and support evidence-based policy making. Key components include a Digital Public Infrastructure (DPI) called AgriStack, a Farmers' Registry, geo-referenced village maps, and a Digital Crop Survey system. e-"
29,Kisan Upaj Nidhi (EKUN),This scheme allows individuals to use their electronic-Negotiable Warehouse Receipts (e-NWR) to apply for secured credit from banks. These e-NWRs can only be issued by Warehousing Development and Regulatory Authority (WDRA) registered warehouses. Financing for agricultural commodities against e-NWRs is available from Banks and Financial Institutions. This scheme is actively available through the JanSamarth portal.
30,Agri Loan - Kisan Credit Card (KCC),"This scheme aims to provide farmers with timely and adequate credit to meet their credit needs, including short-term requirements and post-harvest expenses. It is actively listed on the JanSamarth portal for application and is a key tool for financial inclusion in the agricultural sector."
31,Kisan Credit Card-Fisheries (KCCFIM),"This scheme specifically caters to the unique credit needs of the fisheries sector, providing timely and adequate credit to meet credit needs and post-harvest expenses. This specialized variant of the KCC is listed on the JanSamarth portal for easy application."
32,Agri Clinics and Agri Business Centers Scheme (ACABC),"This scheme focuses on the mobilization of finance for agricultural consulting and the establishment of agri-clinics and agri-business centers. It provides loans for the development of agricultural infrastructure, fostering entrepreneurship and providing expert services to farmers. This scheme is actively available via the JanSamarth portal."
33,Weather Based Crop Insurance Scheme (WBCIS),"This scheme offers insurance protection for notified food crops, oilseeds, and horticultural/commercial crops, with coverage triggered by adverse weather parameters. It maintains uniform maximum premium rates similar to PMFBY: 2% of sum insured for Kharif season, 1.5% for Rabi Season, and 5% for commercial/horticultural crops. The difference between actual premium and the rate of Insurance payable by farmers shall be shared equally by the Centre and State. Coverage under WBCIS is compulsory if you avail a crop loan for notified crops, and voluntary for non-loanee farmers."
34,Coconut Palm Insurance Scheme (CPIS),"Implemented by the Coconut Development Board, this scheme insures coconut palms against natural calamities, climatic risks, pests, diseases, and other perils. This scheme provides subsidized premium rates per palm, ranging from Rs. 9.00 to Rs. 14.00, with a 50-75% subsidy on the premium for all types of farmers. When a palm is damaged, the claim payment equal to the input cost loss is payable to the insured in notified areas."
35,Pilot Unified Package Insurance Scheme (UPIS),"This innovative scheme is implemented as a pilot in 45 districts to provide a holistic safety net for farmers. UPIS aims to provide financial protection and comprehensive risk coverage not just for crops but also for assets, life, and student safety. While crop insurance is compulsory, farmers have the flexibility to choose at least two other sections, offering a customizable and holistic safety net through a single application form."
36,National Programme for Dairy Development (NPDD),"A central sector scheme launched in February 2014 and restructured in July 2021 with a budget increase to Rs. 2790 crore for 2021-2026. The scheme aims to modernize and expand dairy infrastructure, ensuring the sector's sustained growth and productivity. It focuses on improving essential dairy infrastructure, such as milk chilling plants and advanced milk testing laboratories. The Revised NPDD is expected to establish 10,000 new Dairy Cooperative Societies."
37,Rashtriya Gokul Mission (RGM),"Launched in December 2014, the Rashtriya Gokul Mission aims to develop and conserve indigenous bovine breeds in a scientific and holistic way. The revised mission has been approved with an allocation of Rs. 3400 crore for the 15th Finance Commission period from 2021-22 to 2025-26."
38,National Livestock Mission (NLM),"Launched in 2014-15 and revised in the 2021-22 financial year, the NLM aims to boost employment, support entrepreneurship, and increase per-animal productivity in poultry, sheep, goat, and piggery. The scheme provides capital subsidies for establishing entrepreneurial units and incentives for R&D, extension activities, and livestock insurance. The beneficiary application and selection process are conducted online on the portal www.nlm.udyamimitra.in."
39,Livestock Health & Disease Control Programme (LHDCP),"The revised version of this program was approved on March 5, 2025, with a total outlay of Rs. 3,880 crore for two years (2024-25 and 2025-26). The scheme has three components: National Animal Disease Control Programme (NADCP), Livestock Health & Disease Control (LH&DC), and Pashu Aushadhi, which is a new component added to the scheme."
40,Clean Plant Programme (CPP),"The Union Cabinet approved the Clean Plant Programme (CPP) on August 9, 2024, with an outlay of Rs. 1765.67 crore. The program's aim is to enhance the quality and productivity of horticulture crops by providing disease-free planting material. It will establish Clean Plant Centers to produce virus-free, superior planting materials, thereby boosting crop yields and strengthening India's position as a global exporter. The program complements the ongoing Mission for Integrated Development of Horticulture (MIDH). Krishi Udaan 2.0 Detailed Description: The Krishi Udaan 2.0 scheme was announced on October 27, 2021, and its primary objective is to increase the share of air carriage for the transportation of agricultural produce, especially from North-East, hilly, and tribal regions. The scheme assists farmers in improving their value realization by ensuring seamless, cost-effective, time-bound air transportation and logistics. The Airports Authority of India provides a full waiver of landing, parking, and other charges for Indian freighters. The Ministry of Civil Aviation has also asked states to reduce sales tax on aviation turbine fuel to 1% for airlines under the scheme."
41,Computerization of Primary Agricultural Credit Societies (PACS) Project,"This project aims to digitize the operations of Primary Agricultural Credit Societies (PACS) for enhanced efficiency. Funds have been released through FY 2023-24, with Rs. 121.60 Crore released to the State of Maharashtra till date. As of June 30, 2025, over 59,920 PACS across India have been onboarded with the new Enterprise Resource Planning (ERP) system."
42,Computerization of Agriculture and Rural Development Bank (ARDB),"A sub-project for the Computerization of Agriculture and Rural Development Bank was approved by the Central Government on October 6, 2023. This project includes 1851 units of State Cooperative Agriculture and Rural Development Bank (SCARDB) and Primary Cooperative Agriculture and Rural Development Bank (PCARDB) in 13 States, with a total outlay of Rs. 119.40 Crore."
43,SWAYAM SHAKTI SAHAKAR YOJNA,This scheme provides financial assistance from the National Cooperative Development Corporation (NCDC) to Agricultural Credit Cooperatives for extending loans/advances to Women Self Help Groups (SHGs).
44,DEERGHAVADHI KRISHAK PUNJI SAHAKAR YOJNA,"This scheme, also offered through the National Cooperative Development Corporation (NCDC), focuses on providing long-term capital to farmers. The objective is to support farmers in making long-term investments in agricultural activities and infrastructure."
45,DBT in Agriculture,"This initiative facilitates direct benefit transfers for various agricultural schemes, enhancing transparency and efficiency in financial disbursements to farmers. This system, operational since 2014, ensures that subsidies and other financial benefits reach the intended beneficiaries directly without the need for intermediaries."
46,ICAR Fellowships,"The Indian Council of Agricultural Research (ICAR) awards various fellowships to develop competent human resources in agricultural sciences through research. These include the Netaji Subhas - ICAR International Fellowship, ICAR Emeritus Scientist, ICAR Senior Research Fellowship, and ICAR Junior Research Fellowship."
47,Agricultural Technology Management Agency (ATMA),"ATMA promotes technology dissemination and extension services at the district level, bridging the gap between agricultural research and its practical application on farms. It continues to be an active ""Ministry Major Scheme,"" with a latest publish date of April 4, 2025, and aims to strengthen agricultural extension systems."
48,National Innovations in Climate Resilient Agriculture (NICRA),"A mega-project launched by the Indian Council of Agricultural Research (ICAR) in February 2011 with funding from the Ministry of Agriculture. The objectives are strategic research, technology demonstrations, and capacity building to assess and adapt to the impacts of climate change across agriculture, dairying, and fisheries. The four modules of NICRA - natural resource management, improving soil health, crop production, and livestock - are designed to make farmers self-reliant."
49,National Mission on Natural Farming (NMNF),"The Union Cabinet approved the launch of the National Mission on Natural Farming on November 25, 2024, with a total outlay of Rs 1,584 crore. The objective of natural farming is to bring the cost of production to almost zero by avoiding expensive inputs like fertilizers and pesticides. This zero-input eco-friendly farming method is an exemplary initiative to combat soil and environment degradation caused by chemical-intensive farming."
50,PM Matsya Sampada Yojana (PMMSY),"The PM Matsya Sampada Yojana is a flagship scheme launched in 2020. It aims to address key challenges in fish production, post-harvest infrastructure, and overall development of the fisheries sector. It includes infrastructure development for cold storage, processing units, and provides insurance to fishermen."
